	ensembl_gene_id	external_gene_id
392	ENSMUSG00000064348	mt-Tn
393	ENSMUSG00000094722	Gm7792
394	ENSMUSG00000094351	Gm21883
395	ENSMUSG00000082074	Gm12661
396	ENSMUSG00000057446	Cts8
397	ENSMUSG00000064347	mt-Ta
398	ENSMUSG00000064346	mt-Tw
399	ENSMUSG00000051234	Rnf7
400	ENSMUSG00000073962	Olfr576
401	ENSMUSG00000064345	mt-Nd2
402	ENSMUSG00000094352	Gm2777
403	ENSMUSG00000046683	0610025J13Rik
404	ENSMUSG00000033285	Wdr3
405	ENSMUSG00000083542	Olfr1379-ps1
406	ENSMUSG00000031847	1700030J22Rik
407	ENSMUSG00000040372	Gpr63
408	ENSMUSG00000096244	VMN1R63
409	ENSMUSG00000064344	mt-Tm
410	ENSMUSG00000054752	Fsd1l
411	ENSMUSG00000086226	Gm12660
412	ENSMUSG00000083644	Gm12787
413	ENSMUSG00000066269	Olfr575
414	ENSMUSG00000064343	mt-Tq
415	ENSMUSG00000064342	mt-Ti
416	ENSMUSG00000082388	Gm12692
417	ENSMUSG00000095229	Gm2784
418	ENSMUSG00000096776	VMN1R62
419	ENSMUSG00000064341	mt-Nd1
420	ENSMUSG00000060508	Nlrp9b
421	ENSMUSG00000056418	BC043934
422	ENSMUSG00000045824	Olfr574
423	ENSMUSG00000064340	mt-Tl1
424	ENSMUSG00000021441	Cts6
425	ENSMUSG00000064339	mt-Rnr2
426	ENSMUSG00000064338	mt-Tv
427	ENSMUSG00000095754	Spin2f
428	ENSMUSG00000064337	mt-Rnr1
429	ENSMUSG00000052785	Olfr573-ps1
430	ENSMUSG00000047388	Atmin
431	ENSMUSG00000064336	mt-Tf
432	ENSMUSG00000049076	Acap2
433	ENSMUSG00000001552	Jup
434	ENSMUSG00000094391	Gm21447
435	ENSMUSG00000073778	Gm10574
436	ENSMUSG00000073963	Olfr572
437	ENSMUSG00000062038	Gm10108
438	ENSMUSG00000098112	Bin2
439	ENSMUSG00000085228	Gm14376
440	ENSMUSG00000035910	Dcdc2a
441	ENSMUSG00000085745	Gm14372
442	ENSMUSG00000022070	Bora
443	ENSMUSG00000043310	Olfr571
444	ENSMUSG00000079834	Tmlhe
445	ENSMUSG00000086828	Gm15579
446	ENSMUSG00000032412	Atp1b3
447	ENSMUSG00000055679	Ctsr
448	ENSMUSG00000082561	Gm15580
449	ENSMUSG00000014547	Wdfy2
450	ENSMUSG00000073964	Olfr570
451	ENSMUSG00000054986	Sec14l3
452	ENSMUSG00000059277	R74862
453	ENSMUSG00000062142	Olfr569
454	ENSMUSG00000053110	Yap1
455	ENSMUSG00000061654	Spry3
456	ENSMUSG00000039128	Cdc123
457	ENSMUSG00000011171	Vipr2
458	ENSMUSG00000059923	Grb2
459	ENSMUSG00000073965	Olfr568
460	ENSMUSG00000064105	Cnnm2
461	ENSMUSG00000033186	Mzt1
462	ENSMUSG00000052281	Gm15024
463	ENSMUSG00000090805	CAAA01165726.1
464	ENSMUSG00000028518	Prkaa2
465	ENSMUSG00000070777	Ceacam20
466	ENSMUSG00000060888	Olfr566
